image_name,vehicle_class,start_date,expiry_date,confidence,rotation_angle
374027.jpg,CE,,,0.9956722259521484,180
374027.jpg,D1,,,0.9983246326446533,180
374027.jpg,D,,,0.9965577721595764,180
374027.jpg,DE,,,0.9985535740852356,180
374027.jpg,G1,19.07.2005,16.10.2027,0.998100757598877,180
374027.jpg,G,,,0.9964838027954102,180
374027.jpg,J,,,0.0,180
374026.jpg,A1,29.03.2018,29.03.2026,0.9966148138046265,270
374026.jpg,A,29.03.2018,29.03.2026,0.9975918531417847,270
374026.jpg,B1,29.03.2018,29.03.2026,0.9145522713661194,270
374026.jpg,B,,,0.9554805159568787,270
374026.jpg,C1,,,0.9928526878356934,270
374026.jpg,C,,,0.7869554758071899,270
374026.jpg,CE,,,0.9952356815338135,270
374026.jpg,D1,,,0.9878862500190735,270
374026.jpg,D,,,0.9970833659172058,270
374026.jpg,DE,,,0.9980772137641907,270
374026.jpg,G1,29.03.2018,29.03.2026,0.9953539371490479,270
374026.jpg,G,,,0.9962459206581116,270
374026.jpg,J,,,0.9623735547065735,270
374025.jpg,A1,25.08.2022,25.08.2030,0.9798482358455658,0
374025.jpg,A,,,0.0,0
374025.jpg,B1,,,0.0,0
374025.jpg,B,,,0.0,0
374025.jpg,C1,,,0.989963948726654,0
374025.jpg,C,,,0.8954010605812073,0
374025.jpg,CE,,,0.9942014217376709,0
374025.jpg,D1,,,0.9949630498886108,0
374025.jpg,D,,,0.9974445104598999,0
374025.jpg,DE,,,0.9984951019287109,0
374025.jpg,G1,,,0.0,0
374025.jpg,G,25.08.2022,25.08.2030,0.9918453097343445,0
374025.jpg,J,,,0.9836877584457397,0
374024.jpg,A1,11.01.2017,11.01.2025,0.9986993074417114,0
374024.jpg,A,11.01.2017,11.01.2025,0.9993822574615479,0
374024.jpg,B1,,,0.9977054595947266,0
374024.jpg,B,11.01.2017,11.01.2025,0.9938101172447205,0
374024.jpg,C1,,,0.9970188140869141,0
374024.jpg,C,,,0.8205705285072327,0
374024.jpg,CE,,,0.9973335862159729,0
374024.jpg,D1,,,0.9982587099075317,0
374024.jpg,D,,,0.9972892999649048,0
374024.jpg,DE,,,0.9989429712295532,0
374024.jpg,G1,11.01.2017,11.01.2025,0.9979240894317627,0
374024.jpg,G,,,0.9965678453445435,0
374024.jpg,J,,,0.9686130285263062,0
374022.jpg,A1,28.08.2018,28.08.2026,0.9986189007759094,0
374022.jpg,A,,,0.999467670917511,0
374022.jpg,B1,28.08.2018,28.08.2026,0.9960280656814575,0
374022.jpg,B,,,0.9932007193565369,0
374022.jpg,C1,,,0.9944432973861694,0
374022.jpg,C,,,0.7687687277793884,0
374022.jpg,CE,,,0.9963654279708862,0
374022.jpg,D1,,,0.997732937335968,0
374022.jpg,D,,,0.9977725148200989,0
374022.jpg,DE,28.08.2018,28.08.2026,0.9986096620559692,0
374022.jpg,G1,,,0.9967658519744873,0
374022.jpg,G,,,0.996283233165741,0
374022.jpg,J,,,0.9868546724319458,0
374021.jpg,A1,27.04.2022,27.04.2030,0.9970756769180298,0
374021.jpg,A,,,0.7174878716468811,0
374021.jpg,B1,,,0.0,0
374021.jpg,B,,,0.0,0
374021.jpg,C1,,,0.0,0
374021.jpg,C,,,0.0,0
374021.jpg,CE,,,0.9918694496154785,0
374021.jpg,D1,,,0.9921572804450989,0
374021.jpg,D,,,0.9951149225234985,0
374021.jpg,DE,,,0.9978252649307251,0
374021.jpg,G1,27.04.2022,27.04.2030,0.9970813989639282,0
374021.jpg,G,,,0.9903663396835327,0
374021.jpg,J,,,0.0,0
374020.jpg,A1,22.08.2011,13.01.2028,0.9966066479682922,270
374020.jpg,A,22.08.2011,13.01.2029,0.9983071088790894,270
374020.jpg,B1,30.01.2018,13.01.2028,0.9832296371459961,270
374020.jpg,B,,,0.9801642298698425,270
374020.jpg,C1,,,0.9893660545349121,270
374020.jpg,C,,,0.762519121170044,270
374020.jpg,CE,,,0.9969309568405151,270
374020.jpg,D1,,,0.9880527257919312,270
374020.jpg,D,,,0.9947983026504517,270
374020.jpg,DE,,,0.996374249458313,270
374020.jpg,G1,22.08.2011,13.01.2028,0.9944730401039124,270
374020.jpg,G,,,0.9955050349235535,270
374020.jpg,J,,,0.9676152467727661,270
374019.jpg,A1,23.04.2002,17.06.2027,0.9904953241348267,0
374019.jpg,A,,,0.0,0
374019.jpg,B1,23.04.2002,31.05.2011,0.9584735631942749,0
374019.jpg,B,,,0.0,0
374019.jpg,C1,,,0.0,0
374019.jpg,C,,,0.53550785779953,0
374019.jpg,CE,,,0.9717581272125244,0
374019.jpg,D1,,,0.9096771478652954,0
374019.jpg,D,,,0.0,0
374019.jpg,DE,,,0.9931148290634155,0
374019.jpg,G1,23.04.2002,17.06.2027,0.9940110445022583,0
374019.jpg,G,,,0.0,0
374019.jpg,J,,,0.0,0
374018.jpg,A1,5.01.2008,17.05.2031,0.9743837118148804,0
374018.jpg,A,25.01.2008,17.05.2031,0.9985154271125793,0
